ID	Speaker	ALL	CT	ABC	CNN	WP	NPR	PF	TG	NYT	FC	Text
0	QUIJANO	0	0	0	0	0	0	0	0	0	0	Good evening.
1	QUIJANO	0	0	0	0	0	0	0	0	0	0	From Longwood University in Farmville, Virginia, and welcome to the first, and only, vice presidential debate of 2016, sponsored by the Commission on Presidential Debates.
2	QUIJANO	0	0	0	0	0	0	0	0	0	0	I'm Elaine Quijano, anchor at CBSN, and correspondent for CBS News.
3	QUIJANO	0	0	0	0	0	0	0	0	0	0	It's an honor to moderate this debate between Senator Tim Kaine and Governor Mike Pence.
4	QUIJANO	0	0	0	0	0	0	0	0	0	0	Both are longtime public servants who are also proud fathers of sons serving in the U.S. Marines.
5	QUIJANO	0	0	0	0	0	0	0	0	0	0	The campaigns have agreed to the rules of this 90-minute debate.
6	QUIJANO	0	0	0	0	0	0	0	0	0	0	There will be nine different segments covering domestic and foreign policy issues.
7	QUIJANO	0	0	0	0	0	0	0	0	0	0	Each segment will begin with a question to both candidates who will each have two minutes to answer.
8	QUIJANO	0	0	0	0	0	0	0	0	0	0	Then I'll ask follow-up questions to facilitate a discussion between the candidates.
9	QUIJANO	0	0	0	0	0	0	0	0	0	0	By coin toss, it's been determined that Senator Kaine will be first to answer the opening question.
10	QUIJANO	0	0	0	0	0	0	0	0	0	0	We have an enthusiastic audience tonight.
11	QUIJANO	0	0	0	0	0	0	0	0	0	0	They've agreed to only express that enthusiasm once at the end of the debate and right now as we welcome Governor Mike Pence and Senator Tim Kaine.
12	SYSTEM	0	0	0	0	0	0	0	0	0	0	(APPLAUSE)
13	QUIJANO	0	0	0	0	0	0	0	0	0	0	Gentlemen, welcome.
14	QUIJANO	0	0	0	0	0	0	0	0	0	0	It truly is a privilege to be with both of you tonight.
15	QUIJANO	0	0	0	0	0	0	0	0	0	0	I'd like to start with the topic of presidential leadership.
16	QUIJANO	0	0	0	0	0	0	0	0	0	0	Twenty-eight years ago tomorrow night, Lloyd Bentsen said the vice presidential debate was not about the qualifications for the vice presidency, but about how if tragedy should occur, the vice president has to step in without any margin for error, without time for preparation, to take over the responsibility for the biggest job in the world.
17	QUIJANO	0	0	0	0	0	0	0	0	0	0	What about your qualities, your skills, and your temperament equip you to step into that role at a moment's notice?
18	QUIJANO	0	0	0	0	0	0	0	0	0	0	Senator Kaine?
19	KAINE	0	0	0	0	0	0	0	0	0	0	Elaine, thank you for being here tonight, and, Governor Pence, welcome.
20	KAINE	0	0	0	0	0	0	0	0	0	0	It is so great to be back at Longwood University in Farmville, Virginia.
21	KAINE	0	0	0	0	0	0	0	0	0	0	This is a very special place.
22	KAINE	0	0	0	0	0	0	0	0	0	0	Sixty-five years ago, a young, courageous woman, Barbara Johns, led a walkout of her high school, Moton High School.
23	KAINE	0	0	0	0	0	0	0	0	0	0	She made history by protesting school segregation.
24	KAINE	0	0	0	0	0	0	0	0	0	0	She believed our nation was stronger together.
25	KAINE	0	0	0	0	0	0	0	0	0	0	And that walkout led to the Brown v. Board of Education decision that moved us down the path toward equality.
26	KAINE	0	0	0	0	0	0	0	0	0	0	I am so proud to be running with another strong, history-making woman, Hillary Clinton, to be president of the United States.
27	KAINE	0	0	0	0	0	0	0	0	0	0	I'm proud because her vision of stronger together, building an economy that works for all, not just those at the top, being safe in the world not only with a strong military, but also strong alliances to battle terrorism and climate change, and also to build a community of respect, just like Barbara Johns tried to do 65 years ago.
28	KAINE	0	0	0	0	0	0	0	0	0	0	That's why I'm so proud to be her running mate.
29	KAINE	0	0	0	0	0	0	0	0	0	0	Hillary told me why she asked me to be her running mate.
30	KAINE	0	0	0	0	0	0	0	0	0	0	She said the test of a Clinton administration will not be the signing of a bill or the passage of a bill.
31	KAINE	0	0	0	0	0	0	0	0	0	0	It'll be whether we can make somebody's life better, whether we can make a classroom better learning environment for schoolkids or teachers, whether we can make a safer -- it's going to be about results.
32	KAINE	0	0	0	0	0	0	0	0	0	0	And she said to me, you've been a missionary and a civil rights lawyer.
33	KAINE	0	0	0	0	0	0	0	0	0	0	You've been a city councilman and mayor.
34	KAINE	0	0	0	0	0	0	0	0	0	0	You've been a lieutenant governor and governor and now a U.S. senator.
35	KAINE	0	0	0	0	0	0	0	0	0	0	I think you will help me figure out how to govern this nation so that we always keep in mind that the success of the administration is the difference we make in people's lives.
36	KAINE	0	0	0	0	0	0	0	0	0	0	And that's what I bring to the ticket, that experience having served at all levels of government.
37	KAINE	0	0	0	0	0	0	0	0	0	0	But my primary role is to be Hillary Clinton's right-hand person and strong supporter as she puts together the most historic administration possible.
38	KAINE	0	0	0	0	0	0	0	0	0	0	And I relish that role.
39	KAINE	0	0	0	0	0	0	0	0	0	0	I'm so proud of her.
40	KAINE	0	0	0	0	0	0	0	0	0	0	I'll just say this:  We trust Hillary Clinton, my wife and I, and we trust her with the most important thing in our life.
41	KAINE	1	0	0	0	0	1	0	0	0	0	We have a son deployed overseas in the Marine Corps right now.
42	KAINE	0	0	0	0	0	0	0	0	0	0	We trust Hillary Clinton as president and commander-in-chief, but the thought of Donald Trump as commander-in-chief scares us to death.
43	QUIJANO	0	0	0	0	0	0	0	0	0	0	Governor Pence?
44	PENCE	2	0	0	0	0	1	0	1	0	0	Well, first off, thank you, Elaine, and thank you to -- thank you to Norwood University for their wonderful hospitality and the Commission on Presidential Debates.
45	PENCE	0	0	0	0	0	0	0	0	0	0	It's deeply humbling for me to be here, to be surrounded by my -- my wonderful family.
46	PENCE	0	0	0	0	0	0	0	0	0	0	And, Senator Kaine, it's an honor to be here with you, as well.
47	PENCE	0	0	0	0	0	0	0	0	0	0	And I just -- I also want to say -- I want to say thanks to everyone that's looking in tonight, who understands what an enormously important time this is in the life of our nation.
48	PENCE	0	0	0	0	0	0	0	0	0	0	For the last seven-and-a-half years, we've seen America's place in the world weakened.
49	PENCE	3	0	0	0	0	1	1	1	0	0	We've seen an economy stifled by more taxes, more regulation, a war on coal, and a failing health care reform come to be known as Obamacare, and the American people know that we need to make a change.
50	PENCE	0	0	0	0	0	0	0	0	0	0	And so I want to thank all of you for being -- being with us tonight.
51	PENCE	0	0	0	0	0	0	0	0	0	0	I also want to thank Donald Trump for making that call and inviting us to be a part of this ticket.
52	PENCE	0	0	0	0	0	0	0	0	0	0	I have to tell you, I'm a -- I'm a small-town boy from a place not too different from Farmville.
53	PENCE	0	0	0	0	0	0	0	0	0	0	I grew up with a cornfield in my backyard.
54	PENCE	0	0	0	0	0	0	0	0	0	0	My grandfather had immigrated to this country when he was about my son's age.
55	PENCE	0	0	0	0	0	0	0	0	0	0	My mom and dad built a -- everything that matters in a small town in Southern Indiana.
56	PENCE	0	0	0	0	0	0	0	0	0	0	They built a family and -- and a good name and a business.
57	PENCE	0	0	0	0	0	0	0	0	0	0	And they raised a family.
58	PENCE	0	0	0	0	0	0	0	0	0	0	And I dreamed some day of representing my home town in Washington, D.C., but I -- honestly, Elaine, I never imagined -- never imagined I'd have the opportunity to be governor of the state that I love, let alone be sitting at a table like this in this kind of a position.
59	PENCE	0	0	0	0	0	0	0	0	0	0	So to answer your question, I would say I -- I would hope that if -- if the responsibility ever fell to me in this role, that I would meet it with the way that I'm going to meet the responsibility should I be elected vice president of the United States.
60	PENCE	0	0	0	0	0	0	0	0	0	0	And that's to bring a lifetime of experience, a lifetime growing up in a small town, a lifetime where I've served in the Congress of the United States, where -- where I've led a state that works in the great state of Indiana, and whatever other responsibilities might follow from this, I -- I would hope and, frankly, I would pray to be able to meet that moment with that -- that lifetime of experience.
61	QUIJANO	0	0	0	0	0	0	0	0	0	0	Senator Kaine, on the campaign trail, you praised Secretary Clinton's character, including her commitment to public service, yet 60 percent of voters don't think she's trustworthy.
62	QUIJANO	0	0	0	0	0	0	0	0	0	0	Why do so many people distrust her?
63	QUIJANO	0	0	0	0	0	0	0	0	0	0	Is it because they have questions about her e-mails and the Clinton Foundation?
64	KAINE	0	0	0	0	0	0	0	0	0	0	Elaine, let me tell you why I trust Hillary Clinton.
