1	  0.15135706530665172  -0.02809050667100302  -0.10485284920989546  -0.01462867778826557  -0.014770696960176695  -0.056322167044112685  0.05406306999285034  0.010342697004925962  -0.08069249111691616  -0.06703504811073985  0.0713438496573661  -0.023330885426193833  0.18146762231561858  0.030646620234930144  -0.04738418039231963  0.14238573905813073  -0.0405422890613243  0.027823433493847152  -0.22487260275801974  -0.049186802177346355  0.0940286734636907  0.10423987801402451  -0.09259517830941992  0.1417122533916487  -0.012768440457528998
2	  -0.1317286771072961  0.1709387787047045  -0.29353478350079215  -0.20373360265089235  -0.15209570335239886  0.23623616358470437  0.30411269606417624  -0.3272468720507095  -0.3472507726620649  0.3166603739210481  -0.11632030168276762  0.021508830836175472  -0.1633322977661776  -0.17303578841317918  0.009535796651018653  0.24547966603742113  -0.17695768159717692  0.2609082291274112  0.283778826914996  0.26473133866588355  -0.11592600512057794  0.22330602255872664  -0.014251549662640008  0.36580252976775773  -0.1780995379591608
3	  -0.17438639516483703  0.33955570227150267  -0.4006712836030512  -0.34112081486428686  0.002212710842869935  0.3986494535977365  0.44910213537456595  -0.5941748112431089  -0.4799963039548112  0.4644931868520873  -0.09991448813673272  0.07223756200922488  -0.3234593343686004  -0.16224033482592976  0.00208007297228924  0.4012421621491235  -0.33876977084442167  0.2930424910889852  0.5119210064093206  0.35771311254152555  -0.2273138798871429  0.12858107790601406  -0.010275990858366639  0.5677924494635244  -0.23856363004500136
4	  0.09197876501912856  0.21604958965311216  -0.24029863682599517  -0.18493137085771694  0.135522857790078  0.3368010190319203  0.4314883089203602  -0.5962008141869969  -0.30410751868845526  0.5490722232086148  0.02501600502417906  0.1297726047752823  -0.08777691110367224  -0.160312563250936  -0.058152824773306154  0.1770330804948679  -0.44191440479861005  0.2691604122620201  0.5407075886673753  0.37941589807435866  -0.03978618700838331  -0.04262606216768385  -0.24958234594009587  0.551066427865789  -0.10703361787735513
5	  -0.235192018494229  0.2950030202063876  -0.34641195313595097  -0.299552228134438  0.025630182713961013  0.3842401680379309  0.561325799271717  -0.6447603188348103  -0.45618502382196535  0.621216823195653  -0.032897250392245905  0.11098898360613696  -0.1453722453597931  -0.1382949489589467  -0.10720836191214476  0.36563111417038463  -0.503564572724296  0.25528582363885993  0.6182683028156267  0.37923877532231626  -0.07172332494135591  0.08546603287587659  -0.022964253753097588  0.6256316211585475  -0.14906599311829885
6	  -0.17617093972608588  0.3089627348833824  -0.2662230728055532  -0.02896790769744922  0.2261484507745411  0.3153741935557811  0.2550773640152187  -0.47553715447128747  -0.21214220551171298  0.40624454218027356  0.003993935535092959  0.13680522987031715  -0.1883377983803361  -0.1540394131777993  -0.10286430743172038  0.3362674555144751  -0.26889425180183346  0.13745464910252198  0.18328189783606924  0.3453028555137985  -0.2031670141586003  -0.06604618452526474  -0.15595422173636675  0.47090184466594015  -0.09831093465046906
7	  -0.1297050274340487  0.3504770027437526  -0.35223603317020724  -0.337506860246268  0.05420756605285798  0.4129267688081446  0.49153957543461085  -0.6544371851453589  -0.44267634769098224  0.6113283500735888  -0.043234090925600856  0.30077280410962004  -0.24236625479567053  -0.04364576467718008  -0.14806504950385196  0.39811548783611245  -0.5083323159379256  0.3064932212638954  0.6178174066215957  0.4276187749220839  -0.1486930300382533  0.03730419550324352  -0.0964506524798808  0.6307862256121104  -0.20405329763122843
8	  -0.13441793245191072  0.2451857945000114  -0.359267942909618  -0.20240654016935125  0.046233208357737414  0.3537099330615148  0.4052304463738389  -0.5171513184155574  -0.3661918090017132  0.30656212452850135  -0.03561012260545999  0.046942157356576725  -0.22546231874956973  -0.10639272955958425  0.054995617962159224  0.32261148486206787  -0.2838857390783078  0.20457897963099989  0.38431681180294663  0.3807820713597921  -0.20998811466129064  0.0940757775193337  -0.0645234846500293  0.4927524443490439  -0.20239529581556417
9	  -0.04641045960605932  0.36527731304645805  -0.22496302934756937  -0.2104703889046113  0.2033446307051763  0.3146813820044784  0.17858371875879284  -0.4224732137482227  -0.3105694958487536  0.4201731353412265  0.2609425154856405  0.20826626189190084  0.05387405590535903  0.1454503795133904  -0.24725878321273992  0.1680022372580179  -0.16713792544326575  0.07930528300342633  0.35878287902571665  0.3273100151798161  -0.10535365447657008  0.0019310194363008795  -0.22912249607345347  0.3030685220194385  -0.24103787134460208
10	  -0.07848945104971566  0.4479250627401167  -0.2911574825745841  -0.27930623193552695  0.24157303921785223  0.48038189278247906  0.37927508006983834  -0.55604788204948  -0.4783698323427138  0.5359968796226883  0.3421323829662301  0.34156181424320475  -0.02060350732113871  0.09763040139358699  -0.3455363914729356  0.3487617594091991  -0.3780463960671531  0.12327430415774306  0.5726711462986231  0.5091037775710262  -0.3492239064368147  -0.03402799193307787  -0.25294396804863595  0.49253044164927795  -0.40556128667301916
