1	  0.035214305145489254  0.10055116908531063  -0.05596684769501252  0.12511775627583427  -0.11735307422137313  0.04700611277106881  0.08286160480783468  0.11719468557787498  -0.10559269712596749  0.09331013355777187  0.022166729285255853  -0.009399042053594457  0.07033888624061707  -0.10320959478959786  0.050284762304924395  0.09978613592070863  0.04038279890317437  -0.0065374634307590745  -0.008829448458596465  -0.06799817837508261  -0.1128389406673878  -0.029182248371879407  -0.04979541862725538  0.029754209667214416  0.03501192678357894
2	  -0.02539347276079072  -0.07637864046036832  -0.15043676332773276  -0.020487144133688535  0.0020935904216676793  0.0777914793444798  -0.16799103966894863  -0.06724545168945567  0.19004671246299226  0.09879957022757932  0.13612404633872852  0.016637176261290326  0.2173420046914069  -0.1292815195144115  0.06382475496526421  0.018577396488461097  0.06503747447969026  0.07048183366287976  -0.13778318810477522  0.003595389322963983  0.33220082565744125  -0.06903321804722676  -0.11544884263257288  -0.10864704673713893  0.039449174586622886
3	  -0.11474434442627174  0.32280734316608356  -0.425526123986942  -0.19917855928190767  0.09252070787158981  0.44704071853115623  0.4089402870892571  -0.583536023658407  -0.4203412166092069  0.359438034652545  -0.015324636431482951  0.15488520632540523  -0.40476429171682127  0.18738407909937976  0.030891593222328574  0.47279528187473085  -0.4539463039626075  0.10874070249749551  0.42265883753422984  0.455455369521162  -0.34859744876041593  0.14673420460241993  -0.08062005041069563  0.492753136741189  -0.28080102469014706
4	  -0.16485823077290668  0.3414522623565728  -0.3804910736586996  -0.26401075299327387  0.01085923863210691  0.3707073361782444  0.4723119105059941  -0.5777960367238081  -0.44321586685134895  0.4816128554246912  -0.07090561185173078  0.1925266353182153  -0.23619973411555084  -0.10755785785666211  -0.01953425081766854  0.38746052369280276  -0.36345096103458363  0.2294271839717001  0.5145889231586297  0.4250382671558471  -0.2326881955326323  0.17373815628441483  -0.07235335676471459  0.5881325625471481  -0.28918943891622184
5	  -0.18847550911753175  0.2817422683142334  -0.3202185417051658  -0.2219785487426461  0.044104675802471474  0.282478609153427  0.4455494827254645  -0.5529224935179883  -0.31310481514263044  0.5265439597003605  -0.03468673012541363  -0.020521194999583943  0.020246510275503143  -0.18638342020962612  -0.03513546397584748  0.2661780074570029  -0.40356725480047834  0.18094679158064395  0.4650932250257832  0.32590466048839245  -0.06887151112786769  0.0075254060149883605  -0.028390929326921544  0.564705461635049  -0.11612632534258999
6	  -0.17496647951211536  0.37715975513932165  -0.35489791908824164  -0.33265347505431525  0.10886146311034467  0.4003225960085225  0.4432719526120848  -0.6443825692363915  -0.43380982354110387  0.5821748083717402  -0.012913847513711451  0.22658102781520206  -0.31341607517924464  -0.11306839158909028  -0.07196686892604229  0.3139837841446851  -0.421024439016621  0.30205282843958015  0.6098733101822066  0.40121392766066605  -0.13300591070102713  0.014392292982255752  -0.13615641746308982  0.6264570390717836  -0.14652282053059168
7	  -0.31298560523877994  0.3565232783978901  -0.40249305004484653  -0.30981462070698357  -0.05698635348165722  0.39936516205568723  0.5431637087761546  -0.6833014862784987  -0.42209143622093986  0.6339363860571495  0.07564200427703417  0.18567919740322356  -0.03249324517564986  -0.24969788840284193  -0.19736783742460678  0.3704874412046286  -0.4556752393591177  0.18087449762501775  0.6144718299252141  0.33520191636424174  -0.283351327624747  0.10039478778799937  -0.07336549330460808  0.6420236706240325  -0.25754899660281605
8	  -0.2213967885389124  0.35371450701072815  -0.37049733730503503  -0.29509220838761824  0.10412883586631062  0.3881150665325536  0.5071917405621716  -0.6688875164770218  -0.3384256905571593  0.605105675473162  0.0542852277893015  -0.021869867821590325  -0.15448892053928417  -0.04524614109052091  -0.09838654619979678  0.2726565047395809  -0.5080302043720853  0.10433987173970101  0.5998284350917936  0.40458208626109904  -0.1640148448893832  0.03354207655621127  -0.06180256123814237  0.6135197329919647  -0.15404886753829183
9	  -0.13325512272438997  0.20007635768926038  -0.161273150975132  -0.18832337555298775  0.05471361752070032  0.2598517351790864  0.3677924530915182  -0.4700010488342557  -0.2988666734717653  0.4052353749547625  -0.006934495673910458  0.03823109441442715  -0.13369058738473535  -0.07865044362677648  -0.030492890536769002  0.2752364344304449  -0.3416220346954032  0.16803227248838778  0.3326686152948487  0.25873800646673456  -0.1637046870940867  0.08882387183606463  -0.07421771853194607  0.35460147938878067  -0.17437607512862582
10	  -0.04264439514236012  0.39937683643133204  -0.19341795688680338  -0.2512822777481649  0.23874825411787312  0.3694780441255128  0.3049499975127331  -0.5576982666128131  -0.3897197865110688  0.38354984141093007  0.299053947660251  0.2591539726767531  0.03205663767162003  0.09500182539957917  -0.2871483666243498  0.317248700457693  -0.30258361187768573  -0.025058721711569407  0.5033503605558559  0.4390638541050394  -0.23419831071803585  0.009968494652105243  -0.11696165960118626  0.42410422060580316  -0.39925106200137905
