1	  0.12769097684094563  -0.005819155685649809  0.1891718378427507  0.32415254134338456  0.1031372884926984  0.12678788387726542  0.14851626670259943  -0.20037958306594175  -0.05112702281037379  0.1846429916378885  -0.014133795582628247  0.13476765638701707  0.09906050508571741  0.05750705669839403  0.048505850607933276  0.19756610477684008  0.19055962051111186  -0.10360999204615509  -0.2438539301628968  0.0658535568219393  0.20447594081361856  -0.12316623245112916  0.18122735356083775  -0.013170982394613747  -0.1579787153323768
2	  -0.061682007803521545  0.01631331996139596  -0.09053363689471276  0.03822800642984585  0.07805789988023963  0.012244523043840097  -0.05384902338974274  -0.00315261682978453  0.08710287728200213  0.02971738682108214  -0.027955369351225244  0.006477301280287099  -0.021696216000125185  0.05022079021552721  -0.04354635021147419  -0.03262320243464018  0.08985318785275953  -0.05969256814551122  -0.017231472420343386  0.06822333352913755  0.12127449019657568  0.014040814881479327  -0.010104006077295623  -0.03743743806915903  -0.117665184798768
3	  -0.07947416701690542  0.19267692147967755  -0.09526488666671568  0.06208443849094864  0.0978625743481243  0.21222910242832949  0.19046667807942053  -0.2527370717603362  -0.19288317084978085  0.3756688086164942  -0.04101659734027307  -0.12768329435477038  -0.07290473851621464  -0.3717996027439146  0.03770521363087859  0.24322749485766945  -0.16775642240640692  0.11357956533444308  -0.22815968797571354  0.1787007846892289  -0.007887699481604818  0.0627602595861516  -0.07460426050779667  0.33139076228329106  -0.08707412221019688
4	  -0.21682170778468113  0.3251801300482485  -0.3893255338530041  -0.3151976596253971  0.0068935003440572604  0.3504279537714412  0.48932803794343727  -0.5941884217517094  -0.4597257671856551  0.45215974505546813  -0.1065957166517008  0.039124017922363856  -0.19961107723273927  -0.14676606605951947  -0.020349729022895523  0.3518827711364398  -0.31947197364262453  0.21705607371982288  0.5312280961773103  0.3237172192983833  -0.19583242928812064  0.13538467851552774  -0.018956286418579694  0.5876113952601937  -0.21906160497571567
5	  -0.12366616580348559  0.41154963035178127  -0.3825993150438068  -0.32434034892625674  -0.04631844554804824  0.2934911395735476  0.4444099080888691  -0.6666068043968869  -0.3651445608456494  0.6192294958644908  0.0642845081231486  -0.02419676052438107  -0.05114603758308316  -0.29636685627334985  -0.07965086525926234  0.20750297230686054  -0.46887739246989946  0.20751988189424506  0.4578848771726089  0.28594656315530514  -0.05862160542860818  0.07615602112243271  -0.004439534901347322  0.6404596731762026  -0.09236030986590538
6	  -0.12100536418709493  0.21472491945628114  -0.23256288675734973  -0.06051720660084637  0.07901531473549867  0.22557966757610504  0.2674942169290426  -0.443606849831248  -0.21481826607146043  0.3251162808073038  -8.319879233875196E-4  0.009447174687113131  -0.08050133174792462  -0.3096865996911194  -0.056298509965996064  0.22809857639518052  -0.15386630441231217  0.1382158877620453  -0.015608270699947099  0.2533639232117981  -0.1870469860321984  -0.0864414246814994  -0.021175446768496815  0.45166003296514035  -0.11754614603718148
7	  -0.05647287487275417  0.27607491085150604  -0.2692389800845576  -0.2356492702968481  -0.006508779532641646  0.3322636296569897  0.40294781832178944  -0.5262186150046188  -0.2721711837329679  0.36109920334754914  0.03758102078645459  0.23378325865323185  -0.16629714411830712  -0.19937695076706663  -0.05534146422808163  0.22252456011143523  -0.3184972198571656  0.3261880315507509  0.40778816509483684  0.4326738393568967  -0.11988262852800134  -0.03659736651331099  -0.011102281003112438  0.5245172790719647  -0.0704317819858826
8	  -0.08258133141373261  -0.0243672403650968  -0.06445980303603001  0.05030494265678477  -0.0381279356639061  0.06067424238884277  -0.004415865065721707  0.00932011192671203  -0.014541096423295909  0.10235865842536217  -0.029380287674861304  0.018323613857522257  0.05226539395530202  -0.05532877639518305  0.017749999724166594  9.997950731060268E-5  -0.07649405064355426  0.047937965776277874  -0.02556275627122312  -0.0272906360813296  0.04620906636791059  0.0794672203188507  0.0060007182020923484  -0.03456524045095575  0.021438057723502726
9	  -0.05284845708376761  0.2367137832404824  -0.10032159811763197  0.07314859968961292  0.10148542255370019  0.3275528221860333  0.15718250075683618  -0.31766354954240267  -0.23789084970562557  0.42318406238791195  0.024202907534113652  0.07987698959216936  -0.2043987886065233  -0.2659110357554796  0.014708566349996153  0.3279961892462123  -0.18223974803798118  0.08634379341416512  -0.1313679205007686  0.3166388588924165  -0.07428947358395559  0.09190164649928091  -0.11857149358070936  0.3477785474211637  -0.1388656618413522
10	  -0.1733126539201833  0.42020667169468695  -0.38521302974973437  -0.41527519942618535  0.0861319631241498  0.4434053563700538  0.5542340422711953  -0.7010862969403742  -0.5288473448382158  0.6563494475242957  -0.0903708789419703  0.2471294392248957  -0.22140651907042136  -0.037602856873404374  -0.17049675581066115  0.42579013564749213  -0.5214164304814176  0.28594945079179823  0.6689052234158982  0.3553591195877758  -0.08933572784596311  0.04890560932913871  -0.05784182071209606  0.6715129819927829  -0.1947188554650189
11	  0.10066048340752189  -0.03333037009744308  0.28079969035010965  0.038896966348223025  -0.31756040943507463  -0.03500551028539558  -0.24795208112717515  0.2782532681167494  0.0021321960469754555  -0.4153242062879509  -0.03921404517737142  -0.14616146271530114  0.4427815898910778  -0.26369956726962235  0.3299246813588992  -0.2184688177377934  0.1420295560255165  -0.030785260643570993  -0.3714560424172963  -0.23774106641756407  0.3988644621123229  0.04596130278466384  0.08142771223851167  -0.022259917882599404  0.0875835865947535
